11,49,21,249
43,54,12,506
54,43,12,506
11,54,27,522
54,11,27,522
58,24,23,497
24,58,23,497
56,52,26,787
52,56,26,787
34,46,26,770
46,34,26,770
17,23,15,708
23,17,15,708
0,34,30,243
34,0,30,243
15,34,18,911
34,15,18,911
18,8,10,250
8,18,10,250
40,54,19,902
54,40,19,902
13,25,21,630
25,13,21,630
31,32,18,929
32,31,18,929
11,20,27,557
20,11,27,557
7,60,21,740
60,7,21,740
29,7,22,346
7,29,22,346
39,0,15,429
0,39,15,429
30,3,18,914
3,30,18,914
48,37,23,917
37,48,23,917
24,57,22,984
57,24,22,984
3,52,28,490
52,3,28,490
21,0,13,799
0,21,13,799
4,51,30,838
51,4,30,838
23,12,25,995
12,23,25,995
55,18,29,532
18,55,29,532
38,34,21,853
34,38,21,853
39,12,11,291
12,39,11,291
19,8,29,465
8,19,29,465
8,25,30,475
25,8,30,475
10,50,20,275
50,10,20,275
43,50,16,963
50,43,16,963
3,19,22,560
19,3,22,560
46,52,10,232
52,46,10,232
15,35,21,876
35,15,21,876
19,32,20,177
32,19,20,177
1,43,25,541
43,1,25,541
28,21,25,929
21,28,25,929
50,52,24,169
52,50,24,169
25,46,16,652
46,25,16,652
56,5,10,995
5,56,10,995
10,25,30,752
25,10,30,752
46,16,22,964
16,46,22,964
19,7,17,997
7,19,17,997
33,7,28,410
7,33,28,410
10,31,12,881
31,10,12,881
6,2,18,993
2,6,18,993
59,47,30,593
47,59,30,593
11,18,11,273
18,11,11,273
17,52,26,803
52,17,26,803
41,27,24,906
27,41,24,906
27,16,21,803
16,27,21,803
57,24,24,174
24,57,24,174
18,1,23,745
1,18,23,745
31,16,26,468
16,31,26,468
57,6,30,959
6,57,30,959
1,4,16,633
4,1,16,633
47,25,25,834
25,47,25,834
38,47,10,490
47,38,10,490
7,50,22,313
50,7,22,313
53,55,25,795
55,53,25,795
46,7,21,819
7,46,21,819
39,30,12,149
30,39,12,149
59,41,21,711
41,59,21,711
20,2,27,693
2,20,27,693
38,49,13,679
49,38,13,679
35,3,17,562
3,35,17,562
26,12,11,808
12,26,11,808
47,54,30,669
54,47,30,669
7,55,18,931
55,7,18,931
34,26,28,405
26,34,28,405
0,46,26,212
46,0,26,212
38,33,18,815
33,38,18,815
0,2,18,325
2,0,18,325
21,20,13,791
20,21,13,791
20,42,18,948
42,20,18,948
58,44,26,371
44,58,26,371
50,3,27,646
3,50,27,646
30,14,13,293
14,30,13,293
23,22,25,336
22,23,25,336
57,37,18,957
37,57,18,957
5,11,22,467
11,5,22,467
10,19,17,457
19,10,17,457
5,19,16,654
19,5,16,654
43,39,19,737
39,43,19,737
51,19,19,413
19,51,19,413
52,38,26,311
38,52,26,311
44,34,19,393
34,44,19,393
10,3,25,221
3,10,25,221
30,48,14,678
48,30,14,678
24,6,29,602
6,24,29,602
55,3,18,261
3,55,18,261
14,35,10,286
35,14,10,286
7,13,30,345
13,7,30,345
56,25,11,625
25,56,11,625
2,26,19,735
26,2,19,735
27,59,22,676
59,27,22,676
9,26,30,852
26,9,30,852
10,22,21,541
22,10,21,541
29,49,14,510
49,29,14,510
32,30,22,934
30,32,22,934
53,49,12,996
49,53,12,996
9,34,16,651
34,9,16,651
45,42,28,261
42,45,28,261
60,44,27,628
44,60,27,628
29,26,26,787
26,29,26,787
20,26,13,159
26,20,13,159
8,1,23,471
1,8,23,471
59,54,24,366
54,59,24,366
13,60,28,641
60,13,28,641
49,31,15,781
31,49,15,781
3,56,29,492
56,3,29,492
44,29,26,535
29,44,26,535
45,49,16,324
49,45,16,324
